time_s,target_angle_rad,actual_angle_rad,target_ang_vel_rad_s,actual_ang_vel_rad_s,model_torque_nm,angular_acceleration_rad_s2
1.37,-0.7208027974617115,-1.0598427161484727,-0.9799231423230956,0.9971447150921448,0.8134603500366211,8.134603500366211
1.3800000000000001,-0.7302447443867662,-1.049057184884907,-0.9083109263314368,1.0785531263565642,0.8140841126441956,8.140841126441956
1.3900000000000001,-0.7389660279126276,-1.0374577183414952,-0.8358023171171959,1.1599466543411834,0.8139352798461914,8.139352798461914
1.4000000000000001,-0.7469580411853889,-1.0250452393173477,-0.7624688719235969,1.2412479024147614,0.8130124807357788,8.130124807357788
1.41,-0.7542128970528374,-1.0118214458295847,-0.6883829620073921,1.3223793487763031,0.8113144636154175,8.113144636154175
1.42,-0.7607234358481215,-0.9977888114113598,-0.613617701217168,1.4032634418224914,0.8088409304618835,8.088409304618835
1.43,-0.7664832324554768,-0.9829505851118597,-0.5382468738388053,1.483822629950009,0.805591881275177,8.05591881275177
1.44,-0.771486602651041,-0.9673107909598625,-0.46234486177929435,1.563979415199719,0.8015678524971008,8.015678524971008
1.45,-0.7757286087124945,-0.9508742267716448,-0.3859865711607809,1.6436564188217742,0.7967700362205505,7.967700362205505
1.46,-0.7792050642919988,-0.9336464627800747,-0.30924735839725526,1.7227763991570098,0.791199803352356,7.91199803352356
1.47,-0.7819125385476144,-0.9156338392504263,-0.2322029558268776,1.8012623529648406,0.7848595380783081,7.848595380783081
1.48,-0.7838483595291283,-0.8968434642750076,-0.15492939697329922,1.8790374975418669,0.7777514457702637,7.777514457702637
1.49,-0.7850106168149463,-0.8772832104949052,-0.07750294150976314,1.9560253780102355,0.7698788046836853,7.698788046836853
1.5,-0.7853981633974483,-0.8569617117025196,-4.532542289491767e-16,2.032149879238568,0.7612450122833252,7.612450122833252
1.51,-0.7850106168149463,-0.8358883586692396,0.07750294150976224,2.107335303328,0.7518542408943176,7.518542408943176
1.52,-0.7838483595291283,-0.8140732945558853,0.1549293969732983,2.181506411335431,0.7417110800743103,7.417110800743103
1.53,-0.7819125385476144,-0.7915274096674989,0.23220295582687672,2.2545884888386354,0.7308207750320435,7.308207750320435
1.54,-0.7792050642919989,-0.7682623357312991,0.30924735839725437,2.326507393619977,0.7191890478134155,7.191890478134155
1.55,-0.7757286087124946,-0.7442904395189839,0.38598657116078,2.3971896212315187,0.7068222761154175,7.068222761154175
1.56,-0.771486602651041,-0.7196248156345686,0.46234486177929346,2.4665623884415253,0.6937276721000671,6.937276721000671
1.57,-0.7664832324554769,-0.6942792789445961,0.5382468738388045,2.5345536689972503,0.679912805557251,6.79912805557251
1.58,-0.7607234358481215,-0.668268356114277,0.6136177012171671,2.601092283031903,0.6653861403465271,6.653861403465271
1.59,-0.7542128970528376,-0.641607276070747,0.6883829620073911,2.666108004353009,0.6501572132110596,6.501572132110596
1.6,-0.746958041185389,-0.6143119604067182,0.7624688719235961,2.7295315664028745,0.6342356204986572,6.342356204986572
1.61,-0.7389660279126274,-0.5863990124132255,0.8358023171171971,2.7912947993492705,0.6176323294639587,6.176323294639587
1.62,-0.730244744386766,-0.5578857055163247,0.908310926331438,2.8513306896900756,0.6003589034080505,6.003589034080505
1.6300000000000001,-0.7208027974617113,-0.5287899708793269,0.9799231423230967,2.9095734636997803,0.5824277400970459,5.824277400970459
1.6400000000000001,-0.7106495051991384,-0.499130384170567,1.0505682924808373,2.9659586708759886,0.563852071762085,5.63852071762085
1.6500000000000001,-0.6997948876726883,-0.46892615131789384,1.1201766585705466,3.0204232852673156,0.544646143913269,5.44646143913269
1.6600000000000001,-0.6882496570793656,-0.43819709354790426,1.1886795455388155,3.0729057769989594,0.5248249173164368,5.248249173164368
1.67,-0.6760252071678944,-0.4069636315311076,1.2560093493066544,3.123346201679669,0.5044042468070984,5.044042468070984
1.68,-0.6631336019944605,-0.37524676860321815,1.322099623486576,3.171686292788945,0.4834009110927582,4.834009110927582
1.69,-0.6495875640169476,-0.3430680731221804,1.3868851449571402,3.217869548103772,0.46183255314826965,4.6183255314826965
1.7,-0.6354004615394075,-0.31044965999072915,1.4503019782303024,3.261841313145123,0.4397176504135132,4.397176504135132
1.71,-0.6205862955191555,-0.2774141714636938,1.5122875385480312,3.3035488527035337,0.41707539558410645,4.1707539558410645
1.72,-0.6051596857495173,-0.2439847568824192,1.5727806536459004,3.342941458127461,0.39392605423927307,3.9392605423927307
1.73,-0.5891358564318583,-0.21018505178333757,1.631721624122732,3.3799705099081616,0.37029051780700684,3.7029051780700684
1.74,-0.5725306211511354,-0.17603915611247098,1.689052282356692,3.414589567086659,0.34619057178497314,3.4619057178497314
1.75,-0.5553603672697959,-0.14157161175448013,1.7447160499097194,3.4467544357990842,0.3216486871242523,3.216486871242523
1.76,-0.5376420397554308,-0.10680737922724834,1.798657993363607,3.4764232527231793,0.29668816924095154,2.9668816924095154
1.77,-0.5193931244581371,-0.07177181378041891,1.8508248785326564,3.503556544682942,0.27133291959762573,2.7133291959762573
1.78,-0.5006316308540948,-0.036490640808479254,1.901165222999391,3.5281172971939663,0.24560752511024475,2.4560752511024475
1.79,-0.48137607427238904,-0.0009899306528972016,1.9496293469214823,3.550071015558205,0.2195371836423874,2.195371836423874
1.8,-0.46164545762261433,0.03470392701297499,1.996169422059766,3.5693857665872195,0.19314751029014587,1.9314751029014587
1.81,-0.4414592526412976,0.07056424935033977,2.0407395189789317,3.586032233736477,0.1664646714925766,1.664646714925766
1.82,-0.4208373806756448,0.10656408665550372,2.0832956523743342,3.5999837305163958,0.1395149677991867,1.395149677991867
1.83,-0.39980019302357844,0.14267624889139516,2.1237958244801747,3.611216223589144,0.11232493072748184,1.1232493072748184
1.84,-0.3783684508494601,0.1788733322041804,2.1622000665162298,3.6197083312785243,0.08492107689380646,0.8492107689380646
